Medidas 
0.540
0.642
0.578
0.580
0.600
0.650
0.572
0.522
0.574
0.512
0.512
0.688
0.612
0.580
0.678
0.640
0.644
0.622
0.674
0.730
0.552
0.726
0.536
0.542
0.714
0.580
